STORE,CATEGORY,GROUP,PRODUCT,STOCKEEPING,UOM,"COST PER BOX
(New)","COST PER PIECE
(New)","COST PER PIECE
(Old)","SELLING PRICE
(WholeSale)","SELLING PRICE
(Dealer)","SELLING PRICE
(SRP)","QTY GROUND
(Pieces)","EXPIRY
(Ground)","QTY UPSTAIRS
(Pieces)","EXPIRY
(Upstairs)",QTY BOXES,"EXPIRY
(Boxes)",TOTAL COST,TOTAL QTY, POS COUNT , DISCREPANCY 
EASY,SYRUPS ,Easy r1f,🌰 Almond,Syrup 2.5kg - 6pc max,6,"1,752.00",292.00,278.49,288.49,288.49,352.00,,,,,,,0.00,0,,  - 
EASY,SYRUPS ,Easy r1f,🫐 Blueberry,Syrup 2.5kg - 6pc max,6,"1,752.00",292.00,278.49,288.49,288.49,352.00,6,,4,,7,,"15,184.00",52,  52 ,  - 
EASY,SYRUPS ,Easy r1f,🍯 Brown Sugar,Syrup 2.5kg - 6pc max,6,"1,752.00",292.00,278.49,288.49,288.49,352.00,6,,2,,1,,"4,088.00",14,  14 ,  - 
EASY,SYRUPS ,Easy r1f,🍮 Butterscotch,Syrup 2.5kg - 6pc max,6,"1,752.00",292.00,278.49,288.49,288.49,352.00,9,,7,,,,"4,672.00",16,  16 ,  - 
EASY,SYRUPS ,Easy r1f,🍬 Caramel,Syrup 2.5kg - 6pc max,6,"1,752.00",292.00,278.49,288.49,288.49,352.00,6,,5,,6,,"13,724.00",47,  47 ,  - 
EASY,SYRUPS ,Easy r1f,🍏 Green Apple,Syrup 2.5kg - 6pc max,6,"1,752.00",292.00,278.49,288.49,288.49,352.00,6,,,,6,,"12,264.00",42,  42 ,  - 
EASY,SYRUPS ,Easy r1f,🌰 Hazelnut,Syrup 2.5kg - 6pc max,6,"1,752.00",292.00,278.49,288.49,288.49,352.00,6,,5,,3,,"8,468.00",29,  29 ,  - 
EASY,SYRUPS ,Easy r1f,🥛 Hokkaido,Syrup 2.5kg - 6pc max,6,"1,752.00",292.00,278.49,288.49,288.49,352.00,12,,4,,,,"4,672.00",16,  16 ,  - 
EASY,SYRUPS ,Easy r1f,🍋 Lemon,Syrup 2.5kg - 6pc max,6,"1,752.00",292.00,278.49,288.49,288.49,352.00,6,,3,,7,,"14,892.00",51,  51 ,  - 
EASY,SYRUPS ,Easy r1f,🍈 Lychee,Syrup 2.5kg - 6pc max,6,"1,752.00",292.00,278.49,288.49,288.49,352.00,6,,10,,3,,"9,928.00",34,  34 ,  - 
